Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2021-11-11,63548.1434171405,66281.5697112403,63557.8715183709,65521.2893420962,30558763548.22,56501.08,60092.582,58137.89,0,0
2021-11-12,59016.3371572465,63721.1951940329,60161.2470371667,63721.1951940329,46844335591.65,56551.484,60156.348,58174.074,0,0
2021-11-13,58515.4098924661,60823.6105180456,60368.0118167649,60139.6201092629,39178392930.24,56047.457,59605.508,57644.13,0,0
2021-11-14,56550.7916436038,60948.4984361572,56942.1362440572,60360.1376899776,41388338699.24,55304.902,58861.867,56982.367,0,0
2021-11-15,55705.1806847159,58351.1132659249,58119.5761937925,56896.128680164,38702407772.13,54437.617,58017.37,56062.3,0,0
2021-11-16,57469.725660869,59859.8804420403,59697.1971342589,58115.0803464697,30624264862.85,53396.957,57012.723,54992.312,0,0
2021-11-17,58618.9314315245,60004.4263827568,58730.4766386507,59730.5079742192,26123447605.05,53165.855,56825.375,54799.52,0,0
2021-11-18,55679.8404036725,59266.35846819,56289.2873226386,58706.8493839442,35036121783.1,53256.758,56918.2,54807.94,0,0
2021-11-19,55632.7599123359,57875.5163965831,57569.0748757271,56304.5553876631,37485803898.95,53060.61,56664.914,54595.41,0,0
2021-11-20,55964.2210698342,57803.0665250198,56280.4271082207,57565.8501077567,36635566788.68,52942.97,56484.1,54502.79,0,0
2021-11-21,57146.6852020181,59367.9679943132,57274.6794471653,57165.4172722878,34284016247.69,52733.594,56286.484,54278.957,0,1
2021-11-22,53569.7639630968,59183.4814705583,53569.7639630968,58960.2851828641,41810748221.23,52657.992,56266.83,54171.535,0,1
2021-11-23,53668.3552191285,55329.2596495755,54815.079304928,53736.4315256188,30560857714.07,52441.984,56049.742,53945.63,2,1
2021-11-24,53576.7358175684,57393.8437511678,57248.458375824,54813.0247017865,28116886356.83,51989.066,55561.7,53540.996,1,1
2021-11-25,56792.5254079788,58872.8805776195,57806.5662152559,57291.904734501,32370840356.0,51856.125,55433.574,53401.395,0,1
2021-11-26,56057.2822340064,59113.4009013998,57005.4254735998,57830.1138192706,36708594617.63,51953.305,55596.145,53479.934,0,1
2021-11-27,56553.0807744684,59041.6852434855,57229.8298994492,56907.9667338266,36858195306.81,52231.37,55895.94,53766.887,0,1
2021-11-28,55895.1328619811,57349.2349793262,56477.8174777821,57217.371048472,32379968685.55,52595.71,56260.22,54179.047,0,1
2021-11-29,52496.5853617419,57482.1692659699,53598.2464702979,56509.1653563906,39789134214.89,52625.758,56269.156,54213.625,0,0
2021-11-30,42874.6168583905,53904.6795117967,49200.7046174372,53727.87808735,61385677468.79,52028.145,55670.49,53636.14,2,0
2021-12-01,47857.4968720903,49768.1489762985,49368.8470992255,49201.5184010156,37198201161.44,50377.227,53911.117,51963.88,0,0
2021-12-02,47281.0353797585,50929.5190938323,50582.6253966441,49413.4790992129,37707308001.13,48836.85,52333.25,50589.617,0,0
2021-12-03,50175.8075210566,51934.7818955124,50700.0843364829,50581.8300495181,33676814851.61,47796.613,51312.688,49408.633,1,0
2021-12-04,48765.9869210097,51171.3753104053,50504.7955387084,50667.6476830609,28479699445.97,47310.562,50913.66,48913.617,0,0
2021-12-05,47358.353270501,50797.1654408922,47672.1223910874,50450.0820524109,29603577250.59,47723.203,51308.918,49281.04,0,0
2021-12-06,47023.6980210468,50015.2529873873,47243.3056849164,47642.1435531842,30966005122.3,47657.21,51194.88,49236.51,2,0
2021-12-07,46942.3478207253,49458.2127878793,49362.508336459,47264.6347033978,25775869261.33,47425.2,50924.258,48990.86,0,0
2021-12-08,48725.8530226358,50724.8657399937,50098.3351363893,49354.8549351623,21939223598.97,47092.754,50593.277,48625.527,1,0
2021-12-09,45894.8473948431,50204.9982632709,46737.48224375,50114.7409911263,32166727776.26,47107.734,50656.023,48643.99,0,0
2021-12-10,46424.4960219948,48431.3995664936,46612.6335069029,46709.8224590995,34638619079.14,46873.62,50360.926,48355.156,2,0
2021-12-11,46671.9667448597,49473.9557896173,48896.7208291144,48379.7542277397,36541828519.8,46569.316,50017.16,48135.69,0,0
2021-12-12,47529.8807655215,49425.5731432585,47665.426077884,48900.462910626,27268150946.58,46609.88,50069.777,48119.695,1,0
2021-12-13,45618.2160839731,48004.8937503772,46202.143379147,47653.7298524917,32902725329.31,46401.773,49911.19,47915.16,2,0
2021-12-14,45598.4426124471,47313.8287806201,46848.7767655561,46219.2554163103,26098292689.86,46136.57,49621.168,47637.176,0,0
2021-12-15,46502.9545467562,48089.6643521108,46707.0148769996,46853.8680030434,25154053860.63,46030.543,49542.383,47569.574,0,0
2021-12-16,45579.8101425366,47401.7179482003,46880.2789637231,46707.0644512279,30961902128.91,45923.105,49446.87,47400.41,0,0
2021-12-17,46698.7741152543,49300.9197060746,48936.6141514468,46886.0774573853,27055803927.85,45421.453,48930.812,46956.06,0,1
2021-12-18,48450.9397297104,49544.7964416088,48628.509925134,48937.0963391141,24447979558.59,45601.773,49104.85,47161.402,1,0
2021-12-19,48065.8375264037,51332.340378309,50784.5381788605,48626.3437822023,28223878107.92,46129.34,49702.484,47694.883,0,0
2021-12-20,50514.4942908966,51814.0285054983,50822.1965232303,50806.0505029799,24367912228.26,46672.88,50302.96,48195.676,0,0
2021-12-21,50236.7065001331,51176.5987876064,50429.8577970562,50854.9186725144,19030650914.0,47462.184,51160.953,49039.305,0,0
2021-12-22,49623.1042072232,51196.3772869711,50809.5150128895,50428.6926963893,20964372925.86,47921.99,51615.645,49464.836,0,0
2021-12-23,50499.4686759577,51956.3263547044,50640.4188043781,50802.6089327853,24324345757.98,48089.645,51748.953,49629.027,0,0
2021-12-24,47414.2099253189,50679.8593770298,47588.8547774592,50679.8593770298,33430376883.39,48304.516,52006.99,49881.457,0,2
2021-12-25,46201.4943709627,48119.7409498776,46444.7104905398,47623.8704633248,30049226299.49,47905.92,51554.965,49380.17,2,0
2021-12-26,46060.3131660207,47879.9654999821,47178.1258434398,46490.6060493554,26686491018.4,46998.035,50571.29,48562.824,0,0
2021-12-27,45819.9545532818,48472.527490225,46306.4461226996,47169.3728586211,36974172399.58,46290.895,49809.324,47828.24,0,0
2021-12-28,46288.4860950468,47827.3109946009,47686.8115091782,46311.744663041,24582667004.25,45580.17,49131.004,47093.973,0,1
2021-12-29,46856.9363097429,47881.4062331606,47345.220564253,47680.9266248301,27951569547.04,45374.465,48925.582,46858.543,1,1
2021-12-30,45835.9630254063,47510.7261749285,46458.1169588914,47343.543765149,33071628361.52,45405.61,48973.484,46947.85,0,1
2021-12-31,45752.4635620531,47406.5483021772,45897.5758267783,46458.8514444139,42494677904.76,45281.51,48830.94,46800.156,2,1
2022-01-01,42798.2242591564,46929.0457944863,43569.0033476498,45899.3587395826,36851084858.53,45111.37,48617.01,46625.996,0,0
2022-01-02,42645.5409516768,43748.7203109931,43160.9284196054,43565.5117270679,30208048288.93,44513.754,47923.156,46013.625,0,0
2022-01-03,41077.4462015482,43153.5708757533,41557.9011609709,43153.5708757533,84196607519.83,43683.29,46980.266,45188.547,0,0
2022-01-04,40672.2754483568,42228.9420354353,41733.9430988926,41561.4658676891,28066355845.13,42420.504,45629.945,43901.223,0,0
2022-01-05,41338.1597064035,42663.9504824008,41911.6015363357,41734.727562932,21294384372.18,41661.566,44775.8,43068.055,0,0
2022-01-06,39796.571708349,42199.4850422173,41821.2631390031,41910.2308272178,32104232330.73,41444.562,44604.65,42901.375,0,0
2022-01-07,41407.7538730793,43001.1571213205,42735.8541195077,41819.5069706213,26327648900.42,41134.97,44231.824,42416.19,0,0
2022-01-08,42528.9864452659,44135.3685087135,43949.1006867819,42742.1784059514,33499938688.54,41597.805,44754.01,42954.062,0,0
2022-01-09,42447.0441520643,44278.4232566127,42591.5722580306,43946.7417177351,47691135081.85,42086.69,45357.934,43401.848,1,0
2022-01-10,41982.6166524365,43346.6885657206,43099.6998283297,42598.872888975,23577403398.89,42078.746,45402.645,43463.645,2,0
2022-01-11,42669.0352201934,43724.6731845297,43177.3967900803,43101.899610764,18371348297.75,42241.137,45518.55,43667.668,0,2
2022-01-12,42691.0242340791,43436.8075003502,43113.8801137778,43172.0388946744,17902097844.6,42442.426,45736.44,43889.266,0,2
2022-01-13,41680.3215634165,43179.3911030298,42250.5493732401,43118.1201015099,21690904261.18,42578.66,45846.82,43880.297,0,2
2022-01-14,41392.216698751,42534.4039185478,42375.6328430686,42250.0731446126,22417209226.95,42576.316,45829.33,43884.24,0,2
2022-01-15,41242.9131156818,42478.3048443432,41744.3298424627,42374.0406120285,23091543257.9,42435.516,45655.11,43715.18,0,2
2022-01-16,40672.8238483266,43413.0239423642,40680.4199136003,41744.0280591734,20382033939.59,42141.39,45370.836,43451.645,0,2
2022-01-17,35791.4265480389,41060.5273749856,36457.3181001361,40699.6069839273,43011992031.18,41872.766,45121.555,43167.79,0,2
2022-01-18,34349.2491949516,36688.8108237871,35030.2517675959,36471.5899999248,39714385404.71,40719.926,43823.176,42008.594,0,0
2022-01-19,34784.9671633865,36433.3126565747,36276.8046943699,35047.3602896719,26017975950.79,38927.94,41802.418,40346.742,0,0
2022-01-20,33184.0595656615,37247.5213280799,36654.3291826876,36275.7329481249,41856658596.7,37619.656,40348.68,38966.242,0,0
2022-01-21,35779.4288038279,37444.5693479937,36954.0020136276,36654.8059244257,26428189593.82,36277.098,38968.34,37608.86,0,0
2022-01-22,36374.9079053597,38825.4086928912,36852.122594586,36950.5148286881,31324598033.71,36154.125,38846.13,37508.855,0,0
2022-01-23,35629.2798878753,37148.3222790892,37138.2343159536,36841.8806089473,25041426629.34,36678.13,39444.21,38048.11,0,0
2022-01-24,36211.1081986276,37952.8778358648,37784.3332640665,37128.444198943,22238830522.98,36890.63,39642.254,38212.19,0,0
2022-01-25,37406.4736874418,38576.2636449016,38138.1785657755,37780.7137862733,17194183074.9,37404.105,40208.62,38732.855,0,0
2022-01-26,37437.7092090569,38266.3397953894,37917.60273361,38151.9188233734,14643548443.91,37849.53,40700.01,39081.023,0,0
2022-01-27,36733.5728745194,38647.2609829571,38483.126309273,37920.2809909723,20734730465.05,38094.97,40964.746,39339.234,0,2
2022-01-28,38113.6630945423,39115.1322812921,38743.2725693698,38481.7653685119,20288500327.54,38347.156,41228.98,39569.965,0,2
2022-01-29,36832.7286672317,38834.617830971,36952.9849327595,38743.7134257246,19155189415.69,38649.71,41586.633,39882.766,0,2
2022-01-30,36375.5373396971,37154.6002446074,37154.6002446074,36944.8052390298,18591534769.08,38582.1,41499.875,39775.69,0,2
2022-01-31,37093.6295679956,41527.7855761899,41500.8753823114,37149.2641415061,29412210791.81,38193.707,41040.67,39427.973,0,0
2022-02-01,41038.095856616,41847.1632851494,41441.1648206042,41501.4805719368,19652846214.68,38477.332,41487.387,39765.117,1,0
2022-02-02,41244.9076349004,42500.7869325403,42412.4342359174,41441.1207903381,16142097333.9,39255.73,42479.387,40546.047,0,0
2022-02-03,41748.1553115415,44401.8635101809,43840.2865761055,42406.7813264058,28641855926.25,40013.8,43336.0,41387.344,0,0
2022-02-04,42807.8357379192,45293.8662442033,44118.4462597284,43854.6536157814,33079398868.46,40902.527,44321.023,42397.402,0,0
2022-02-05,43232.9671622586,44727.799891548,44338.7977574167,44096.7044920426,23245887299.61,41726.637,45193.36,43193.434,0,0
2022-02-06,43402.8082441073,45661.1731433747,43565.1121728445,44347.7988345238,32142048537.32,42143.46,45630.055,43650.004,0,0
2022-02-07,42114.5396429838,43810.8303834551,42407.9379380192,43571.1304633789,26954925781.36,42456.3,46011.406,43990.832,2,2
2022-02-08,41852.5727219579,42992.5515605498,42244.4699868886,42412.300311475,18152390303.98,42426.293,45891.43,43817.945,0,2
2022-02-09,41950.9417357075,42693.0528547568,42197.5153405276,42236.5664263282,14741589014.5,42063.297,45463.06,43535.098,0,0
2022-02-10,41681.9561131146,42775.7783215497,42586.9196860901,42157.3991531626,20827783011.84,41841.305,45193.117,43189.01,0,0
